Sample	Normalized_Value
1413	-0.9118
1414	-0.9118
1415	-0.9118
1416	-0.9118
1417	-0.9118
1418	-0.3824
1419	0.0000
1420	0.2647
1421	0.4412
1422	0.5588
1423	0.5588
1424	0.6765
1425	0.6765
1426	0.6765
1427	0.6765
1428	0.6765
1429	0.6765
1430	0.6765
1431	0.6765
1432	0.6765
1433	0.6765
1434	0.6765
1435	0.7941
1436	0.7941
1437	0.7941
1438	0.7941
1439	0.7647
1440	0.7647
1441	0.7647
1442	0.7647
1443	0.7647
1444	0.7647
1445	0.7647
1446	0.7647
1447	0.7647
1448	0.6765
1449	0.6765
1450	0.6765
1451	0.6765
1452	0.6765
1453	0.6765
1454	0.6765
1455	0.6765
1456	0.6765
1457	0.6765
1458	0.6765
1459	0.6765
1460	0.6765
1461	0.6765
1462	0.6765
1463	0.6765
1464	0.6765
1465	0.6765
1466	0.6765
1467	0.6765
1468	0.6765
1469	0.6765
1470	0.6765
1471	0.6765
1472	0.6765
1473	0.6765
1474	0.6765
1475	0.6765
1476	0.2647
1477	0.0000
1478	-0.2059
1479	-0.2059
1480	-0.2059
1481	-0.2059
1482	-0.2059
1483	-0.2059
1484	-0.2059
1485	-0.2059
1486	-0.2059
1487	-0.2059
1488	-0.2059
1489	-0.2059
1490	-0.2059
1491	-0.2059
1492	-0.2059
1493	-0.2059
1494	-0.2059
1495	0.0294
1496	0.1765
1497	0.2941
1498	0.3529
1499	0.4118
1500	0.4118
1501	0.4118
1502	0.4118
1503	0.4118
1504	0.5000
1505	0.5588
1506	0.5882
1507	0.6765
1508	0.6765
1509	0.6765
1510	0.6765
1511	0.6765
1512	0.7059
1513	0.7059
1514	0.7059
1515	0.7059
1516	0.6765
1517	0.6765
1518	0.6765
1519	0.6765
1520	0.6765
1521	0.6765
1522	0.6765
1523	0.6765
1524	0.6765
1525	0.6765
1526	0.6765
1527	0.6765
1528	0.6765
1529	0.6765
1530	0.6765
1531	0.6765
1532	0.6765
1533	0.6765
1534	0.6765
1535	0.6765
1536	0.6765
1537	0.6765
1538	0.6765
1539	0.6765
1540	0.6765
1541	0.6765
1542	0.6765
1543	0.6765
1544	0.6765
1545	0.6765
1546	0.6765
1547	0.6765
1548	0.6765
1549	0.6765
1550	0.6765
1551	0.6765
1552	0.6765
1553	0.6765
1554	0.6765
1555	0.6765
1556	0.6765
1557	0.6765
1558	0.6765
1559	0.6765
1560	0.6765
1561	0.6765
1562	0.6765
1563	0.6765
1564	0.6765
1565	0.7353
1566	0.7353
1567	0.7353
1568	0.7353
1569	0.7353
1570	0.7353
1571	0.7353
1572	0.7353
1573	0.7353
1574	0.7353
1575	0.7353
